ip_range,country,region,city,postal
77.199.114.0/24,FR,Auvergne-Rhône-Alpes,Ambérieu-en-Bugey,1500
77.199.116.0/24,FR,Île-de-France,Paris,75000
77.199.118.0/24,FR,Île-de-France,Paris,75000
77.199.113.0/24,FR,Auvergne-Rhône-Alpes,Ambérieu-en-Bugey,1500
77.199.133.0/24,FR,Auvergne-Rhône-Alpes,Bourgoin-Jallieu,38304 CEDEX
77.199.137.0/24,FR,Île-de-France,Paris,75000
77.199.147.0/24,FR,Île-de-France,Paris,75000
77.199.120.0/24,FR,Auvergne-Rhône-Alpes,Lyon,69009
77.199.119.0/24,FR,Île-de-France,Paris,75000
77.199.149.0/24,FR,Brittany,Vitré,35502 CEDEX
77.199.123.0/24,FR,Auvergne-Rhône-Alpes,Lyon,69009
77.199.121.0/24,FR,Auvergne-Rhône-Alpes,Lyon,69004
77.199.127.0/24,FR,Centre,Sully-sur-Loire,45600
77.199.131.0/24,FR,Occitanie,Brie,9700
77.199.129.0/24,FR,Provence-Alpes-Côte d'Azur,Fréjus,83370
77.199.135.0/24,FR,Auvergne-Rhône-Alpes,Bourgoin-Jallieu,38304 CEDEX
77.199.117.0/24,FR,Île-de-France,Paris,75000
77.199.136.0/24,FR,Île-de-France,Paris,75000
77.199.144.0/24,FR,Île-de-France,Paris,75000
77.199.146.0/24,FR,Île-de-France,Paris,75000
77.199.122.0/24,FR,Auvergne-Rhône-Alpes,Lyon,69006
77.199.152.0/24,FR,Brittany,Saint-Malo,35411 CEDEX
77.199.151.0/24,FR,Pays de la Loire,Aizenay,85190
77.199.124.0/24,FR,Centre,Saint-Père-sur-Loire,45600
77.199.125.0/24,FR,Centre,Sully-sur-Loire,45600
77.199.126.0/24,FR,Centre,Saint-Père-sur-Loire,45600
77.199.128.0/24,FR,Provence-Alpes-Côte d'Azur,Fréjus,83370
77.199.130.0/24,FR,Occitanie,Arthès,81160
77.199.139.0/24,FR,Île-de-France,Paris,75000
77.199.140.0/24,FR,Île-de-France,Paris,75000
77.199.145.0/24,FR,Île-de-France,Paris,75000
77.199.153.0/24,FR,Île-de-France,Paris,75000
77.199.155.0/24,FR,Provence-Alpes-Côte d'Azur,Avignon,84140
77.199.156.0/24,FR,Hauts-de-France,Cayeux-sur-Mer,80410
77.199.132.0/24,FR,Auvergne-Rhône-Alpes,Bourgoin-Jallieu,38304 CEDEX
77.199.158.0/24,FR,Bourgogne-Franche-Comté,Prissé,71960
77.199.134.0/24,FR,Auvergne-Rhône-Alpes,Bourgoin-Jallieu,38304 CEDEX
77.199.161.0/24,FR,Centre,Tours,37098 CEDEX 2
77.199.138.0/24,FR,Île-de-France,Paris,75000
77.199.162.0/24,FR,Centre,Tours,37098 CEDEX 2
77.199.141.0/24,FR,Île-de-France,Paris,75026 CEDEX 01
77.199.159.0/24,FR,Île-de-France,Paris,75000
77.199.142.0/24,FR,Occitanie,Toulouse,31489 CEDEX 4
77.199.165.0/24,FR,Nouvelle-Aquitaine,Angoulême,16918 CEDEX 9
77.199.143.0/24,FR,Nouvelle-Aquitaine,Roquefort,40120
77.199.166.0/24,FR,Nouvelle-Aquitaine,Angoulême,16918 CEDEX 9
77.199.148.0/24,FR,Île-de-France,Paris,75000
77.199.160.0/24,FR,Centre,Tours,37098 CEDEX 2
77.199.168.0/24,FR,Auvergne-Rhône-Alpes,Lyon,69006
77.199.150.0/24,FR,Île-de-France,Paris,75000
77.199.169.0/24,FR,Auvergne-Rhône-Alpes,Lyon,69006
77.199.171.0/24,FR,Auvergne-Rhône-Alpes,Lyon,69006
77.199.167.0/24,FR,Nouvelle-Aquitaine,Angoulême,16918 CEDEX 9
77.199.163.0/24,FR,Centre,Tours,37098 CEDEX 2
77.199.173.0/24,FR,Île-de-France,Paris,75000
77.199.175.0/24,FR,Île-de-France,Paris,75000
77.199.164.0/24,FR,Nouvelle-Aquitaine,Angoulême,16000
77.199.172.0/24,FR,Île-de-France,Paris,75000
77.199.170.0/24,FR,Auvergne-Rhône-Alpes,Lyon,69004
77.199.174.0/24,FR,Île-de-France,Paris,75000
77.199.176.0/24,FR,Nouvelle-Aquitaine,Angoulême,16918 CEDEX 9
77.199.177.0/24,FR,Nouvelle-Aquitaine,Angoulême,16918 CEDEX 9
77.199.179.0/24,FR,Nouvelle-Aquitaine,Angoulême,16000
77.199.154.0/24,FR,Île-de-France,Paris,75000
77.199.185.0/24,FR,Île-de-France,Paris,75000
77.199.187.0/24,FR,Île-de-France,Paris,75000
77.199.186.0/24,FR,Île-de-France,Paris,75479 CEDEX 10
77.199.180.0/24,FR,Île-de-France,Paris,75000
77.199.184.0/24,FR,Île-de-France,Paris,75000
77.199.190.0/24,FR,Auvergne-Rhône-Alpes,Lyon,69003
77.199.189.0/24,FR,Auvergne-Rhône-Alpes,Lyon,69000
77.199.195.0/24,FR,Pays de la Loire,Le Mans,72000
77.199.188.0/24,FR,Auvergne-Rhône-Alpes,Lyon,69004
77.199.194.0/24,FR,Pays de la Loire,Le Mans,72000
77.199.193.0/24,FR,Pays de la Loire,Le Mans,72086 CEDEX 9
77.199.198.0/24,FR,Bourgogne-Franche-Comté,Chagny,71150
77.199.196.0/24,FR,Auvergne-Rhône-Alpes,Bourg-en-Bresse,01008 CEDEX
77.199.197.0/24,FR,Auvergne-Rhône-Alpes,Bourg-en-Bresse,01008 CEDEX
77.199.192.0/24,FR,Pays de la Loire,Le Mans,72086 CEDEX 9
77.199.200.0/24,FR,Auvergne-Rhône-Alpes,Firminy,42700
77.199.203.0/24,FR,Grand Est,Romilly-sur-Seine,10100
77.199.199.0/24,FR,Île-de-France,Paris,75000
77.199.202.0/24,FR,Grand Est,Romilly-sur-Seine,10105 CEDEX
77.199.208.0/24,FR,Provence-Alpes-Côte d'Azur,Mougins,06257 CEDEX
77.199.205.0/24,FR,Normandy,Sacquenville,27930
77.199.201.0/24,FR,Île-de-France,Paris,75000
77.199.178.0/24,FR,Nouvelle-Aquitaine,Angoulême,16918 CEDEX 9
77.199.209.0/24,FR,Provence-Alpes-Côte d'Azur,Mougins,06257 CEDEX
77.199.210.0/24,FR,Île-de-France,Paris,75000
77.199.206.0/24,FR,Auvergne-Rhône-Alpes,Lempdes,63370
77.199.215.0/24,FR,Nouvelle-Aquitaine,Saint-Jean-d'Illac,33127
77.199.213.0/24,FR,Occitanie,Saissac,11310
77.199.214.0/24,FR,Île-de-France,Paris,75000
77.199.211.0/24,FR,Île-de-France,Paris,75000
77.199.216.0/24,FR,Pays de la Loire,Le Mans,72086 CEDEX 9
77.199.218.0/24,FR,Pays de la Loire,Le Mans,72086 CEDEX 9
77.199.217.0/24,FR,Pays de la Loire,Le Mans,72000
77.199.219.0/24,FR,Pays de la Loire,Le Mans,72086 CEDEX 9
77.199.220.0/24,FR,Nouvelle-Aquitaine,Angoulême,16000
77.199.204.0/24,FR,Île-de-France,Tournan-en-Brie,77229 CEDEX
77.199.207.0/24,FR,Île-de-France,Paris,75015
77.199.157.0/24,FR,Pays de la Loire,Chauvé,44320
77.199.221.0/24,FR,Nouvelle-Aquitaine,Angoulême,16918 CEDEX 9
77.199.226.0/24,FR,Bourgogne-Franche-Comté,Couches,71490
77.199.223.0/24,FR,Nouvelle-Aquitaine,Angoulême,16918 CEDEX 9
77.199.115.0/24,FR,Auvergne-Rhône-Alpes,Ambérieu-en-Bugey,01501 CEDEX
77.199.225.0/24,FR,Grand Est,Vireux-Wallerand,8320
77.199.222.0/24,FR,Nouvelle-Aquitaine,Angoulême,16918 CEDEX 9
77.199.224.0/24,FR,Hauts-de-France,Huchenneville,80132
77.199.112.0/24,FR,Auvergne-Rhône-Alpes,Ambérieu-en-Bugey,1500
77.199.181.0/24,FR,Île-de-France,Saint-Germain-en-Laye,78100
77.199.183.0/24,FR,Île-de-France,Paris,75000
77.199.182.0/24,FR,Île-de-France,Paris,75000
77.199.191.0/24,FR,Auvergne-Rhône-Alpes,Lyon,69002
77.199.228.0/24,FR,Nouvelle-Aquitaine,Beurlay,17250
77.199.227.0/24,FR,Île-de-France,Paris,75000
77.199.229.0/24,FR,Nouvelle-Aquitaine,Rochefort,17302 CEDEX
77.199.231.0/24,FR,Nouvelle-Aquitaine,Royan,17200
77.199.232.0/24,FR,Nouvelle-Aquitaine,Royan,17204 CEDEX
77.199.230.0/24,FR,Nouvelle-Aquitaine,Saintes,17100
77.199.233.0/24,FR,Nouvelle-Aquitaine,Royan,17200
77.199.238.0/24,FR,Nouvelle-Aquitaine,Royan,17204 CEDEX
77.199.234.0/24,FR,Nouvelle-Aquitaine,Rochefort,17302 CEDEX
77.199.235.0/24,FR,Nouvelle-Aquitaine,Royan,17204 CEDEX
77.199.237.0/24,FR,Nouvelle-Aquitaine,La Rochelle,17088 CEDEX 2
77.199.242.0/24,FR,Auvergne-Rhône-Alpes,Grenoble,38007 CEDEX 1
77.199.241.0/24,FR,Occitanie,Toulouse,31000
77.199.243.0/24,FR,Auvergne-Rhône-Alpes,Grenoble,38007 CEDEX 1
77.199.248.0/24,FR,Provence-Alpes-Côte d'Azur,Brignoles,83174 CEDEX
77.199.244.0/24,FR,Nouvelle-Aquitaine,Ustaritz,64480
77.199.236.0/24,FR,Nouvelle-Aquitaine,Saintes,17100
77.199.252.0/24,FR,Île-de-France,Paris,75000
77.199.254.0/24,FR,Grand Est,Thaon-les-Vosges,88150
77.199.251.0/24,FR,Grand Est,Tours-sur-Marne,51150
77.200.1.0/24,FR,Nouvelle-Aquitaine,Royan,17204 CEDEX
77.199.255.0/24,FR,Nouvelle-Aquitaine,Bonneuil-Matours,86210
77.200.0/24.0/24,FR,Nouvelle-Aquitaine,Beurlay,17250
77.200.6.0/24,FR,Nouvelle-Aquitaine,Royan,17204 CEDEX
77.200.5.0/24,FR,Nouvelle-Aquitaine,Saintes,17100
77.200.2.0/24,FR,Nouvelle-Aquitaine,Saintes,17100
77.200.9.0/24,FR,Nouvelle-Aquitaine,Saint-Pierre-d'Oléron,17310
77.200.7.0/24,FR,Nouvelle-Aquitaine,La Rochelle,17088 CEDEX 2
77.200.8.0/24,FR,Nouvelle-Aquitaine,La Rochelle,17088 CEDEX 2
77.199.239.0/24,FR,Nouvelle-Aquitaine,Royan,17204 CEDEX
77.199.245.0/24,FR,Nouvelle-Aquitaine,Ustaritz,64480
77.200.11.0/24,FR,Nouvelle-Aquitaine,Royan,17204 CEDEX
77.200.10.0/24,FR,Nouvelle-Aquitaine,Royan,17204 CEDEX
